[Decode Mode] Current Length of sequences is modified into input_len
Using synthesis trace
ACT: 0.844055GB, Weight: 7.47876GB, Cache: 2.01758GB
Total: 10.3404GB
-----------------------------------
-------------start-----------------
-----------------------------------
Total: 2561633.729760
./data/exp4_2bit_hybrid//llama3_8B_synthesis_16400_128_GPU+PIM_N1_D4_TP1_DP4_maxbatch8_maxprocess524288_iter1_skew0_precision_byte1_parallel_execution1_ramul_decode.csv
LLM | 2561.6us  | 0 - 2561.6 | tensor(1, 128256) -> tensor(2, 128256) | ACT: 9.0773mJ  | RD: 194.45mJ  | WR: 0.11679mJ  | all_ACT: 1.9063mJ  | all_RD: 8.4316mJ  | all_WR: 0mJ  | MAC: 10.399mJ  | Total: 213.98mJ | compute util: 0, memory util: 0, Op/B 4.942
				Linear | 2.835us  | 1966.5 - 1969.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.033975mJ  | RD: 0.46737mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.015435mJ  | Total: 0.50157mJ | compute util: 0.0067633, memory util: 0.74046, Op/B 3.9961, GPU
			all_reduce | 0us  | 1969.4 - 1969.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.003072us  | 1969.4 - 1969.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.00256us  | 1969.4 - 1969.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 31.901us  | 1969.4 - 2001.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.21548mJ  | RD: 4.9082mJ  | WR: 0.0029652mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.16207mJ  | Total: 5.1266mJ | compute util: 0, memory util: 0, Op/B 3.9955
			gate_proj | 10.616us  | 1969.4 - 1980 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.616us  | 1969.4 - 1980 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0.0063218, memory util: 0.69188, Op/B 3.9975, GPU
			activation | 0.062us  | 1980 - 1980 | tensor(2, 14336) -> tensor(2, 14336) | ACT: 0mJ  | RD: 0.0018248mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.0027372mJ | compute util: 0, memory util: 0.17342, Op/B 0, GPU
			up_proj | 10.616us  | 1980 - 1990.7 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.616us  | 1980 - 1990.7 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0.0063218, memory util: 0.69188, Op/B 3.9975, GPU
			down_proj | 10.608us  | 1990.7 - 2001.3 | tensor(2, 14336) -> tensor(2, 4096) | ACT: 0.071207mJ  | RD: 1.6359mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7073mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.608us  | 1990.7 - 2001.3 | tensor(2, 14336) -> tensor(2, 4096) | ACT: 0.071207mJ  | RD: 1.6359mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7073mJ | compute util: 0.0063263, memory util: 0.69237, Op/B 3.9975, GPU
		all_reduce | 0us  | 2001.3 - 2001.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.003072us  | 2001.3 - 2001.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_25 | 80.051us  | 2001.3 - 2081.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.28367mJ  | RD: 6.0765mJ  | WR: 0.0036495mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.32497mJ  | Total: 6.6869mJ | compute util: 0, memory util: 0, Op/B 4.942
		input_layer_norm | 0.00256us  | 2001.3 - 2001.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 48.139us  | 2001.3 - 2049.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.068182mJ  | RD: 1.1683mJ  | WR: 0.00068429mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.1629mJ  | Total: 1.5602mJ | compute util: 0, memory util: 0, Op/B 6.4657
			attn_qkv_proj | 3.861us  | 2001.3 - 2005.1 | tensor(2, 4096) -> tensor(2, 6144) | ACT: 0.034207mJ  | RD: 0.70094mJ  | WR: 0.00045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.023153mJ  | Total: 0.7356mJ | compute util: 0, memory util: 0, Op/B 3.9967
				Linear | 3.861us  | 2001.3 - 2005.1 | tensor(2, 4096) -> tensor(2, 6144) | ACT: 0.034207mJ  | RD: 0.70094mJ  | WR: 0.00045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.023153mJ  | Total: 0.7356mJ | compute util: 0.0074491, memory util: 0.81541, Op/B 3.9967, GPU
			self_attention | 41.443us  | 2005.1 - 2046.6 | tensor(2, 6144) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.12432mJ  | Total: 0.32306mJ | compute util: 0, memory util: 0, Op/B 8
				AttentionSplit | 0us  | 2005.1 - 2005.1 | tensor(2, 6144) -> tensor(0, 6144) tensor(2, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2005.1 - 2005.1 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 41.443us  | 2005.1 - 2046.6 | tensor(2, 6144) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.12432mJ  | Total: 0.32306mJ | compute util: 0.050946, memory util: 0.012737, Op/B 8, PIM
				AttentionMerge | 0us  | 2046.6 - 2046.6 | tensor(0, 4096) tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 2.835us  | 2046.6 - 2049.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.033975mJ  | RD: 0.46737mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.015435mJ  | Total: 0.50157mJ | compute util: 0, memory util: 0, Op/B 3.9961
				Linear | 2.835us  | 2046.6 - 2049.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.033975mJ  | RD: 0.46737mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.015435mJ  | Total: 0.50157mJ | compute util: 0.0067633, memory util: 0.74046, Op/B 3.9961, GPU
			all_reduce | 0us  | 2049.4 - 2049.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.003072us  | 2049.4 - 2049.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.00256us  | 2049.4 - 2049.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 31.901us  | 2049.4 - 2081.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.21548mJ  | RD: 4.9082mJ  | WR: 0.0029652mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.16207mJ  | Total: 5.1266mJ | compute util: 0, memory util: 0, Op/B 3.9955
			gate_proj | 10.615us  | 2049.4 - 2060 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.615us  | 2049.4 - 2060 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0.0063218, memory util: 0.69188, Op/B 3.9975, GPU
			activation | 0.062us  | 2060 - 2060.1 | tensor(2, 14336) -> tensor(2, 14336) | ACT: 0mJ  | RD: 0.0018248mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.0027372mJ | compute util: 0, memory util: 0.17342, Op/B 0, GPU
			up_proj | 10.616us  | 2060.1 - 2070.7 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.616us  | 2060.1 - 2070.7 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0.0063218, memory util: 0.69188, Op/B 3.9975, GPU
			down_proj | 10.608us  | 2070.7 - 2081.3 | tensor(2, 14336) -> tensor(2, 4096) | ACT: 0.071207mJ  | RD: 1.6359mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7073mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.608us  | 2070.7 - 2081.3 | tensor(2, 14336) -> tensor(2, 4096) | ACT: 0.071207mJ  | RD: 1.6359mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7073mJ | compute util: 0.0063263, memory util: 0.69237, Op/B 3.9975, GPU
		all_reduce | 0us  | 2081.3 - 2081.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.003072us  | 2081.3 - 2081.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_26 | 80.051us  | 2081.3 - 2161.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.28367mJ  | RD: 6.0765mJ  | WR: 0.0036495mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.32497mJ  | Total: 6.6869mJ | compute util: 0, memory util: 0, Op/B 4.942
		input_layer_norm | 0.00256us  | 2081.3 - 2081.3 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 48.139us  | 2081.3 - 2129.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.068182mJ  | RD: 1.1683mJ  | WR: 0.00068429mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.1629mJ  | Total: 1.5602mJ | compute util: 0, memory util: 0, Op/B 6.4657
			attn_qkv_proj | 3.861us  | 2081.3 - 2085.2 | tensor(2, 4096) -> tensor(2, 6144) | ACT: 0.034207mJ  | RD: 0.70094mJ  | WR: 0.00045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.023153mJ  | Total: 0.7356mJ | compute util: 0, memory util: 0, Op/B 3.9967
				Linear | 3.861us  | 2081.3 - 2085.2 | tensor(2, 4096) -> tensor(2, 6144) | ACT: 0.034207mJ  | RD: 0.70094mJ  | WR: 0.00045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.023153mJ  | Total: 0.7356mJ | compute util: 0.0074491, memory util: 0.81541, Op/B 3.9967, GPU
			self_attention | 41.443us  | 2085.2 - 2126.6 | tensor(2, 6144) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.12432mJ  | Total: 0.32306mJ | compute util: 0, memory util: 0, Op/B 8
				AttentionSplit | 0us  | 2085.2 - 2085.2 | tensor(2, 6144) -> tensor(0, 6144) tensor(2, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2085.2 - 2085.2 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 41.443us  | 2085.2 - 2126.6 | tensor(2, 6144) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.12432mJ  | Total: 0.32306mJ | compute util: 0.050946, memory util: 0.012737, Op/B 8, PIM
				AttentionMerge | 0us  | 2126.6 - 2126.6 | tensor(0, 4096) tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 2.835us  | 2126.6 - 2129.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.033975mJ  | RD: 0.46737mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.015435mJ  | Total: 0.50157mJ | compute util: 0, memory util: 0, Op/B 3.9961
				Linear | 2.835us  | 2126.6 - 2129.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.033975mJ  | RD: 0.46737mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.015435mJ  | Total: 0.50157mJ | compute util: 0.0067633, memory util: 0.74046, Op/B 3.9961, GPU
			all_reduce | 0us  | 2129.5 - 2129.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.003072us  | 2129.5 - 2129.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.00256us  | 2129.5 - 2129.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 31.901us  | 2129.5 - 2161.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.21548mJ  | RD: 4.9082mJ  | WR: 0.0029652mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.16207mJ  | Total: 5.1266mJ | compute util: 0, memory util: 0, Op/B 3.9955
			gate_proj | 10.615us  | 2129.5 - 2140.1 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.615us  | 2129.5 - 2140.1 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0.0063218, memory util: 0.69188, Op/B 3.9975, GPU
			activation | 0.062us  | 2140.1 - 2140.2 | tensor(2, 14336) -> tensor(2, 14336) | ACT: 0mJ  | RD: 0.0018248mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.0027372mJ | compute util: 0, memory util: 0.17342, Op/B 0, GPU
			up_proj | 10.615us  | 2140.2 - 2150.8 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.615us  | 2140.2 - 2150.8 | tensor(2, 4096) -> tensor(2, 14336) | ACT: 0.072138mJ  | RD: 1.6352mJ  | WR: 0.00091238mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7083mJ | compute util: 0.0063218, memory util: 0.69188, Op/B 3.9975, GPU
			down_proj | 10.608us  | 2150.8 - 2161.4 | tensor(2, 14336) -> tensor(2, 4096) | ACT: 0.071207mJ  | RD: 1.6359mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7073mJ | compute util: 0, memory util: 0, Op/B 3.9975
				Linear | 10.608us  | 2150.8 - 2161.4 | tensor(2, 14336) -> tensor(2, 4096) | ACT: 0.071207mJ  | RD: 1.6359mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.054023mJ  | Total: 1.7073mJ | compute util: 0.0063263, memory util: 0.69237, Op/B 3.9975, GPU
		all_reduce | 0us  | 2161.4 - 2161.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.003072us  | 2161.4 - 2161.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_27 | 80.051us  | 2161.4 - 2241.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.28367mJ  | RD: 6.0765mJ  | WR: 0.0036495mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.32497mJ  | Total: 6.6869mJ | compute util: 0, memory util: 0, Op/B 4.942
		input_layer_norm | 0.00256us  | 2161.4 - 2161.4 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 48.139us  | 2161.4 - 2209.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.068182mJ  | RD: 1.1683mJ  | WR: 0.00068429mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.1629mJ  | Total: 1.5602mJ | compute util: 0, memory util: 0, Op/B 6.4657
			attn_qkv_proj | 3.861us  | 2161.4 - 2165.2 | tensor(2, 4096) -> tensor(2, 6144) | ACT: 0.034207mJ  | RD: 0.70094mJ  | WR: 0.00045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.023153mJ  | Total: 0.7356mJ | compute util: 0, memory util: 0, Op/B 3.9967
				Linear | 3.861us  | 2161.4 - 2165.2 | tensor(2, 4096) -> tensor(2, 6144) | ACT: 0.034207mJ  | RD: 0.70094mJ  | WR: 0.00045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.023153mJ  | Total: 0.7356mJ | compute util: 0.0074491, memory util: 0.81541, Op/B 3.9967, GPU
			self_attention | 41.443us  | 2165.2 - 2206.7 | tensor(2, 6144) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.12432mJ  | Total: 0.32306mJ | compute util: 0, memory util: 0, Op/B 8
				AttentionSplit | 0us  | 2165.2 - 2165.2 | tensor(2, 6144) -> tensor(0, 6144) tensor(2, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 2165.2 - 2165.2 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 41.443us  | 2165.2 - 2206.7 | tensor(2, 6144) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.059572mJ  | all_RD: 0.26349mJ  | all_WR: 0mJ  | MAC: 0.12432mJ  | Total: 0.32306mJ | compute util: 0.050946, memory util: 0.012737, Op/B 8, PIM
				AttentionMerge | 0us  | 2206.7 - 2206.7 | tensor(0, 4096) tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 2.835us  | 2206.7 - 2209.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.033975mJ  | RD: 0.46737mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.015435mJ  | Total: 0.50157mJ | compute util: 0, memory util: 0, Op/B 3.9961
				Linear | 2.835us  | 2206.7 - 2209.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0.033975mJ  | RD: 0.46737mJ  | WR: 0.0002281mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.015435mJ  | Total: 0.50157mJ | compute util: 0.0067633, memory util: 0.74046, Op/B 3.9961, GPU
			all_reduce | 0us  | 2209.5 - 2209.5 | tensor(2, 4096) -> tensor(2, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
